	purchaseAgain	TypeMeal1
0	1	Breakfast
1	1	Snacks
2	1	Lunch
3	1	Snacks
4	1	Lunch
5	1	Lunch
6	1	Lunch
7	1	Dinner
8	1	Dinner
9	1	Lunch
10	1	Snacks
11	1	Lunch
12	1	Snacks
13	1	Dinner
14	1	Snacks
15	1	Lunch
16	1	Dinner
17	1	Lunch
18	1	Lunch
19	1	Dinner
20	1	Dinner
21	1	Snacks
22	1	Dinner
23	1	Lunch
24	1	Breakfast
25	1	Dinner
26	1	Lunch
27	1	Snacks
28	1	Snacks
29	1	Snacks
30	1	Lunch
31	1	Lunch
32	1	Lunch
33	1	Dinner
34	1	Lunch
35	1	Lunch
36	0	Lunch
37	1	Breakfast
38	1	Snacks
39	1	Breakfast
40	1	Lunch
41	1	Dinner
42	1	Lunch
43	1	Snacks
44	1	Lunch
45	1	Breakfast
46	1	Dinner
47	1	Dinner
48	1	Lunch
49	1	Dinner
50	1	Lunch
51	1	Lunch
52	1	Snacks
53	1	Lunch
54	1	Lunch
55	1	Lunch
56	1	Lunch
57	1	Lunch
58	1	Dinner
59	1	Snacks
60	1	Lunch
61	1	Lunch
62	1	Lunch
63	1	Lunch
64	1	Lunch
65	1	Dinner
66	1	Lunch
67	1	Dinner
68	1	Dinner
69	1	Dinner
70	1	Lunch
71	0	Dinner
72	1	Dinner
73	1	Breakfast
74	1	Dinner
75	1	Dinner
76	1	Lunch
77	1	Dinner
78	1	Lunch
79	1	Snacks
80	1	Lunch
81	1	Dinner
82	1	Lunch
83	1	Breakfast
84	1	Dinner
85	1	Lunch
86	1	Snacks
87	1	Dinner
88	0	Lunch
89	0	Breakfast
90	0	Lunch
91	0	Lunch
92	1	Dinner
93	1	Breakfast
94	1	Lunch
95	1	Dinner
96	1	Lunch
97	1	Lunch
98	0	Lunch
99	0	Dinner
100	0	Dinner
101	1	Breakfast
102	1	Lunch
103	1	Lunch
104	1	Lunch
105	0	Lunch
106	0	Dinner
107	1	Dinner
108	0	Lunch
109	1	Snacks
110	1	Lunch
111	1	Dinner
112	1	Dinner
113	1	Lunch
114	1	Lunch
115	0	Dinner
116	1	Breakfast
117	0	Lunch
118	1	Breakfast
119	1	Breakfast
120	0	Lunch
121	1	Lunch
122	1	Lunch
123	1	Lunch
124	0	Dinner
125	1	Breakfast
126	1	Dinner
127	1	Lunch
128	1	Dinner
129	1	Dinner
130	1	Snacks
131	0	Breakfast
132	1	Breakfast
133	0	Snacks
134	1	Dinner
135	0	Lunch
136	1	Dinner
137	0	Snacks
138	1	Breakfast
139	1	Lunch
140	0	Lunch
141	1	Snacks
142	1	Breakfast
143	1	Snacks
144	0	Snacks
145	1	Breakfast
146	1	Snacks
147	1	Lunch
148	1	Snacks
149	1	Dinner
150	1	Snacks
151	1	Dinner
152	1	Breakfast
153	1	Breakfast
154	1	Lunch
155	1	Dinner
156	1	Snacks
157	1	Snacks
158	0	Dinner
159	1	Dinner
160	1	Breakfast
161	0	Dinner
162	1	Lunch
163	1	Dinner
164	1	Breakfast
165	0	Lunch
166	0	Breakfast
167	1	Breakfast
168	1	Snacks
169	0	Snacks
170	1	Dinner
171	1	Snacks
172	1	Breakfast
173	1	Breakfast
174	1	Snacks
175	1	Snacks
176	0	Dinner
177	0	Snacks
178	1	Dinner
179	0	Snacks
180	0	Breakfast
181	1	Dinner
182	1	Lunch
183	0	Breakfast
184	1	Snacks
185	1	Breakfast
186	1	Lunch
187	1	Lunch
188	0	Dinner
189	1	Snacks
190	0	Breakfast
191	1	Snacks
192	1	Breakfast
193	1	Lunch
194	1	Breakfast
195	1	Breakfast
196	1	Snacks
197	1	Snacks
198	1	Snacks
199	0	Snacks
200	1	Breakfast
201	1	Breakfast
202	1	Lunch
203	1	Snacks
204	1	Snacks
205	1	Lunch
206	0	Dinner
207	1	Breakfast
208	1	Snacks
209	0	Lunch
210	0	Snacks
211	1	Snacks
212	0	Dinner
213	1	Breakfast
214	1	Snacks
